id,URL,SOURCE
64,http://unlimitzone.com,blocked-websites-MSM-world-cup.txt
65,http://uploadrocket.net,blocked-websites-MSM-world-cup.txt
66,http://secureupload.eu,blocked-websites-MSM-world-cup.txt
67,http://hulkfile.eu,blocked-websites-MSM-world-cup.txt
68,http://tusfiles.co.nz,blocked-websites-MSM-world-cup.txt
69,http://filehoot.com,blocked-websites-MSM-world-cup.txt
70,http://jumbofiles.com,blocked-websites-MSM-world-cup.txt
71,http://usefile.com,blocked-websites-MSM-world-cup.txt
72,http://clicktoview.org,blocked-websites-MSM-world-cup.txt
73,http://180upload.nl,blocked-websites-MSM-world-cup.txt
74,http://hitfile.net,blocked-websites-MSM-world-cup.txt
75,http://easybytez.com,blocked-websites-MSM-world-cup.txt
76,http://crisshare.com,blocked-websites-MSM-world-cup.txt
77,http://vip-file.com,blocked-websites-MSM-world-cup.txt
78,http://ufile.eu,blocked-websites-MSM-world-cup.txt
79,http://jheberg.net,blocked-websites-MSM-world-cup.txt
80,http://dl.free.fr,blocked-websites-MSM-world-cup.txt
81,http://2shared.com,blocked-websites-MSM-world-cup.txt
82,http://sharebeast.com,blocked-websites-MSM-world-cup.txt
83,http://cramit.in,blocked-websites-MSM-world-cup.txt
84,http://ryushare.com,blocked-websites-MSM-world-cup.txt
85,http://teluguworld.asia,blocked-websites-MSM-world-cup.txt
86,http://twap.in,blocked-websites-MSM-world-cup.txt
87,http://vshare.eu,blocked-websites-MSM-world-cup.txt
88,http://108.59.3.225:182,blocked-websites-MSM-world-cup.txt
89,http://megafilesfactory.com,blocked-websites-MSM-world-cup.txt
90,http://199.91.152.94,blocked-websites-MSM-world-cup.txt
91,http://205.196.121.39,blocked-websites-MSM-world-cup.txt
92,http://199.91.152.86,blocked-websites-MSM-world-cup.txt
93,http://199.91.154.157,blocked-websites-MSM-world-cup.txt
94,http://205.196.123.194,blocked-websites-MSM-world-cup.txt
95,http://205.196.123.8,blocked-websites-MSM-world-cup.txt
96,http://205.196.123.182,blocked-websites-MSM-world-cup.txt
97,http://mhnwap.wapka.me,blocked-websites-MSM-world-cup.txt
98,http://mhnwap.wapka.mobi,blocked-websites-MSM-world-cup.txt
99,http://realitytelevisionportal.eu,blocked-websites-MSM-world-cup.txt
